Point,Type,Link-incidence,Joint-direction,DOF,Joint-variable 
0,"revolute",(nil 0),(0 0 1),nil,nil
3,"revolute",(0 1),(0 0 -1),nil,nil
4,"revolute",(0 2),(0 0 1),nil,nil
5,"revolute",(3 1),(0 0 1),nil,nil
6,"revolute",(4 2),(0 0 -1),nil,nil
7,"revolute",(nil 5),(0 0 1),nil,nil
8,"revolute",(nil 5),(0 0 -1),nil,nil
7,"revolute",(3 nil),(0 0 1),nil,nil
8,"revolute",(4 nil),(0 0 -1),nil,nil
27,"revolute",(3 8),(0 0 1),nil,nil
28,"revolute",(4 9),(0 0 -1),nil,nil
11,"revolute",(3 14),(0 0 -1),nil,nil
12,"revolute",(4 15),(0 0 1),nil,nil
13,"revolute",(14 12),(0 0 1),nil,nil
14,"revolute",(15 13),(0 0 -1),nil,nil
15,"revolute",(6 5),(0 0 -1),nil,nil
16,"revolute",(7 5),(0 0 1),nil,nil
17,"revolute",(6 8),(0 0 -1),nil,nil
18,"revolute",(7 9),(0 0 1),nil,nil
19,"revolute",(10 6),(0 0 1),nil,nil
20,"revolute",(11 7),(0 0 -1),nil,nil
21,"revolute",(10 12),(0 0 -1),nil,nil
22,"revolute",(11 13),(0 0 1),nil,nil
23,"free",(nil 12),(0 1 0),nil,nil
24,"free",(nil 13),(0 1 0),nil,nil
25,"free",(12 nil),(0 1 0),(1 2 6),nil
26,"free",(13 nil),(0 1 0),(1 2 6),nil
