Index	Name						X-pos	Y-pos	Z-pos
0		"link-0-c-rev"				0.0		-1.75	0.0	
1		"link-0-l-nurb"				-2.5	1.75	0.0	
2		"link-0-r-nurb"				2.5		1.75	0.0	
3		"link-0-l-rev"				-2.5	1.75	-0.12			
4		"link-0-r-rev"				2.5		1.75	0.12	
5		"link-1-rev"				0.0		1.75	-0.22		
6		"link-2-rev"				0.0		1.75	0.22		
7		"link-5-l-rev"				-3.6	3.0		0.0		
8		"link-5-r-rev"				3.6		3.0		0.0	
9		"link-1-nurb"				-0.1	0.2		0.0	
10		"link-2-nurb"				0.1		0.2		0.0	
11		"link-3-end"				-4.0	9.1		-0.5	
12		"link-4-end"				4.0		9.1		0.5
13		"link-14-end"				-10.2	10.5	0.0		
14		"link-15-end"				10.2	10.5	0.0
15		"link-5/6-rev"				-2.0	3.0		0.2			
16		"link-6/7-rev"				2.0		3.0		-0.2		
17		"link-6-end"				-1.5	8.4		0.2			
18		"link-7-end"				1.5		8.4 	-0.2		
19		"link-6-corner"				-7.85	6.9	 	0.32			
20		"link-7-corner"				7.85	6.9 	-0.32
21		"link-12-rev"				-6.1	10.5	0.0			
22		"link-13-rev"				6.1		10.5	0.0	
23		"link-12-end"				-12.3	10.75	0.0		
24		"link-13-end"				12.3	10.75	0.0
25		"link-16-end"				-12.8	10.51	0.0		
26		"link-17-end"				12.8	10.51	0.0	
27		"link-3-end"				-4.0	9.1		0.0		
28		"link-4-end"				4.0		9.1		0.0
