Index	Name						X-pos	Y-pos	Z-pos
0		"Spindle"					0.0		0.0		0.0			
1		"Upper-ball-joint"			0.25	0.0		1.0			
2		"Upper-ball-joint"			0.25	0.0		-1.0			
3		"Steering-joint"			0.1		0.5		0.0			
4		"Upper-rev-jont-l"			1.25	0.5		1.0			
5		"upper-rev-jont-r"			1.25	-0.5	1.0			
6		"Lower-rev-jont-l"			1.25	0.5		-1.0			
7		"Lower-rev-jont-r"			1.25	-0.5	-1.0			
8		"Control-point-1"			1.75	0.25	0.0			
9		"Control-point-2"			1.5		0.0		1.0			
10		"Control-point-3"			1.5		0.0		-1.0			
11		"Control-point-4"			0.0		0.0		0.8			
12		"Control-point-5"			0.0		0.0		-0.8			
13		"Control-point-6"			1.0		-0.5	1.0			
14		"Control-point-7"			1.0		0.5		1.0			
15		"Control-point-8"			1.0		-0.5	-1.0			
16		"Control-point-9"			1.0		0.5		-1.0			
17		"Control-point-10"			0.0		0.3		0.0		
18		"Spring-damper-connection"	0.5		0.0		-1.0
19		"Spring-damper-ground"		1.5		0.0		1.0
