Index,Name,X-pos,Y-pos,Z-pos
1,"t1&2-upper-ball",1.0E-8,-0.145,0.29800013
2,"t3&4-upper-front",-0.08312982,-0.02,0.3160429
3,"t5&6-upper-back",0.0842875,-0.02,0.28652272
4,"t7&8-lower-front",-0.05811678,0.03882856,0.07981566
5,"t9&10-lower-back",0.17168449,0.03882856,0.07981566
6,"t11&12-lower-ball",0.0,-0.15999998,0.08700007
7,"t13&14-steering-ball",0.08525106,-0.20131432,0.1854659
8,"t15-spindel",0.00312002,-0.215,0.2
9,"t16-sprdmp-bottom",0.00603329,-0.07978369,0.08261359
10,"t17-sprdmp-top",0.0,0.0,0.3
