id,name,x,y,z,weight
10,"upper-knuckle-nurb1",0.0,-0.23,0.27,0.1
11,"upper-knuckle-nurb2",0.0,-0.215,0.27,0.9
12,"lower-knuckle-nurb1",0.0,-0.23,0.11,0.1
13,"lower-knuckle-nurb2",0.0,-0.215,0.11,0.9
14,"steering-link-nurb",0.07,-0.225,0.19,0.4
15,"lower-m0-nurb1",0.0,-0.05,0.07981566,0.7
16,"lower-m0-nurb2",0.05,0.04,0.07981566,0.7
17,"lower-m0-nurb3",0.12,0.038,0.07981566,0.1
18,"lower-m1-nurb1",-0.065,0.0,0.079,0.5
19,"lower-m1-nurb2",-0.04,-0.05,0.07,0.3
20,"lower-m1-nurb3",-0.0,-0.1,0.065,0.1
21,"lower-m1-nurb1",0.14,0.0,0.079,0.7
22,"lower-m1-nurb2",0.04,-0.05,0.065,0.3
23,"lower-m1-nurb3",0.0,-0.1,0.07,0.1
24,"upper-m0-nurm1",-0.02,-0.14,0.3,0.5
25,"upper-m0-nurm2",-0.05,-0.1,0.31,0.5
26,"upper-m0-nurm3",-0.082,-0.05,0.315,0.5
27,"upper-m1-nurm1",0.02,-0.14,0.3,0.5
28,"upper-m1-nurm2",0.05,-0.1,0.295,0.5
29,"upper-m1-nurm3",0.083,-0.05,0.29,0.5
