Point,Type,Link-incidence,Joint-direction,DOF,Joint-variable 
0,"revolute",(nil 0),(-1 0 0),nil,nil
1,"ball",(0 1),(0.1 0 1),nil,(0 0 1)
2,"ball",(0 2),(0.1 0 -1),nil,(0 0 -1)
3,"ball",(0 22),(0 0.4 1),nil,(0 0 1)
4,"revolute",(nil 1),(0 1 0),nil,nil
5,"revolute",(nil 1),(0 -1 0),nil,nil
6,"revolute",(nil 2),(0 1 0),nil,nil
7,"revolute",(2 nil),(0 -1 0),nil,nil
22,"free",(nil 3),(0 0 1),nil,nil
23,"free",(nil 3),(0 0 1),nil,nil
24,"free",(nil 4),(0 0 1),nil,nil
25,"free",(nil 4),(0 0 1),nil,nil
26,"free",(nil 5),(0 0 1),nil,nil
27,"free",(nil 5),(0 0 1),nil,nil
26,"free",(nil 6),(0 0 1),nil,nil
26,"free",(nil 7),(0 0 1),nil,nil
26,"free",(nil 8),(0 0 1),nil,nil
28,"free",(nil 6),(0 0 1),nil,nil
29,"free",(nil 7),(0 0 1),nil,nil
30,"free",(nil 8),(0 0 1),nil,nil
31,"revolute",(nil 9),(1 0 0),nil,nil
32,"ball",(9 10),(-0.1 0 1),nil,(0 0 1)
33,"ball",(9 11),(-0.1 0 -1),nil,(0 0 -1)
34,"ball",(9 22),(0 0.4 1),nil,(0 0 1)
35,"revolute",(nil 10),(0 1 0),nil,nil
36,"revolute",(nil 10),(0 -1 0),nil,nil
37,"revolute",(nil 11),(0 1 0),nil,nil
38,"revolute",(11 nil),(0 -1 0),nil,nil
53,"free",(nil 12),(0 0 1),nil,nil
54,"free",(nil 12),(0 0 1),nil,nil
55,"free",(nil 13),(0 0 1),nil,nil
56,"free",(nil 13),(0 0 1),nil,nil
57,"free",(nil 14),(0 0 1),nil,nil
58,"free",(nil 14),(0 0 1),nil,nil
57,"free",(nil 15),(0 0 1),nil,nil
57,"free",(nil 16),(0 0 1),nil,nil
57,"free",(nil 17),(0 0 1),nil,nil
59,"free",(nil 15),(0 0 1),nil,nil
60,"free",(nil 16),(0 0 1),nil,nil
61,"free",(nil 17),(0 0 1),nil,nil
4,"free",(18 nil),(0 1 0),nil,nil
35,"free",(18 nil),(0 1 0),nil,nil
5,"free",(19 nil),(0 -1 0),nil,nil
36,"free",(19 nil),(0 -1 0),nil,nil
6,"free",(20 nil),(0 1 0),nil,nil
37,"free",(20 nil),(0 1 0),nil,nil
62,"free",(nil 21),(0 -1 0),nil,nil
63,"free",(nil 21),(0 -1 0),nil,nil
