Index,Name,X-pos,Y-pos,Z-pos 
1,"spindle",-3.5,0.0,0.0
2,"upper-ball-joint",-3.25,0.0,1.0
3,"lower-ball-joint",-3.25,0.0,-1.0
4,"steering-joint",-3.5,0.5,0.0
5,"upper-rev-joint-l",-2.25,0.5,1.0
6,"upper-rev-joint-r",-2.25,-0.5,1.0
7,"lower-rev-jont-l",-2.0,0.5,-1.0
8,"lower-rev-jont-r",-2.0,-1.0,-1.0
9,"upper-knuckle-nurb",-3.5,0.0,0.8
10,"lower-knuckle-nurb",-3.5,0.0,-0.8
11,"steering-link-nurb",-3.5,0.3,0.1
12,"upper-wishbone-l-nurb1",-3.3,0.6,1.0
13,"upper-wishbone-l-nurb2",-2.9,-0.4,1.0
14,"upper-wishbone-l-nurb3",-3.1,0.8,1.0
15,"upper-wishbone-r-nurb1",-3.3,-0.6,1.0
16,"upper-wishbone-r-nurb2",-2.9,0.4,1.0
17,"upper-wishbone-r-nurb3",-3.1,-0.8,1.0
18,"lower-wishbone-l-nurb",-2.5,0.7,-1.0
19,"lower-wishbone-r-nurb1",-3.0,-0.25,-1.0
20,"lower-wishbone-r-nurb2",-2.3,-0.4,-1.0
21,"spring-damper-connection",-3.0,0.0,-1.0
22,"spring-damper-ground",-2.0,0.0,1.0
23,"wheel",-3.9,0.0,0.42
24,"wheel",-3.45,0.0,0.42
25,"wheel",-3.45,0.0,3.6
26,"wheel",-3.9,0.0,3.6
27,"rim-center",-3.8,0.0,0.24
28,"rim-1",-3.8,1.1,1.1
29,"rim-2",-3.8,-1.1,1.1
30,"rim-3",-3.8,-0.9,-0.8
31,"rim-4",-3.8,0.9,-0.8
32,"spindle",3.5,0.0,0.0
33,"upper-ball-joint",3.25,0.0,1.0
34,"lower-ball-joint",3.25,0.0,-1.0
35,"steering-joint",3.5,0.5,0.0
36,"upper-rev-joint-l",2.25,0.5,1.0
37,"upper-rev-joint-r",2.25,-0.5,1.0
38,"lower-rev-jont-l",2.0,0.5,-1.0
39,"lower-rev-jont-r",2.0,-1.0,-1.0
40,"upper-knuckle-nurb",3.5,0.0,0.8
41,"lower-knuckle-nurb",3.5,0.0,-0.8
42,"steering-link-nurb",3.5,0.3,0.1
43,"upper-wishbone-l-nurb1",3.3,0.6,1.0
44,"upper-wishbone-l-nurb2",2.9,-0.4,1.0
45,"upper-wishbone-l-nurb3",3.1,0.8,1.0
46,"upper-wishbone-r-nurb1",3.3,-0.6,1.0
47,"upper-wishbone-r-nurb2",2.9,0.4,1.0
48,"upper-wishbone-r-nurb3",3.1,-0.8,1.0
49,"lower-wishbone-l-nurb",2.5,0.7,-1.0
50,"lower-wishbone-r-nurb1",3.0,-0.25,-1.0
51,"lower-wishbone-r-nurb2",2.3,-0.4,-1.0
52,"spring-damper-connection",3.0,0.0,-1.0
53,"spring-damper-ground",2.0,0.0,1.0
54,"wheel",3.9,0.0,0.42
55,"wheel",3.45,0.0,0.42
56,"wheel",3.45,0.0,3.6
57,"wheel",3.9,0.0,3.6
58,"rim-center",3.8,0.0,0.24
59,"rim-1",3.8,1.1,1.1
60,"rim-2",3.8,-1.1,1.1
61,"rim-3",3.8,-0.9,-0.8
62,"rim-4",3.8,0.9,-0.8
63,"lower-rev-jont-r",-2.0,-1.2,-1.0
64,"lower-rev-jont-r",2.0,-1.2,-1.0
