Index	Name						X-pos	Y-pos	Z-pos
0		"Spindle"					-3.5	0.0		0.0	
1		"Upper-ball-joint"			-3.25	0.0		1.0	
2		"Lower-ball-joint"			-3.25	0.0		-1.0	
3		"Steering-joint"			-3.5	0.5		0.0	
4		"Upper-rev-joint-l"			-2.25	0.5		1.0	
5		"Upper-rev-joint-r"			-2.25	-0.5	1.0	
6		"Lower-rev-jont-l"			-2.0	0.5		-1.0
7		"Lower-rev-jont-r"			-2.0	-1.0	-1.0	
8		"Upper-knuckle-nurb"		-3.5	0.0		0.8
9		"Lower-knuckle-nurb"		-3.5	0.0		-0.8
10		"Steering-link-nurb"		-3.5	0.3		0.1
11		"Upper-wishbone-l-nurb1"	-3.3	0.6		1.0	
12		"Upper-wishbone-l-nurb2"	-2.9	-0.4	1.0
13		"Upper-wishbone-l-nurb3"	-3.1	0.8		1.0	
14		"Upper-wishbone-r-nurb1"	-3.3	-0.6	1.0	
15		"Upper-wishbone-r-nurb2"	-2.9	0.4		1.0	
16		"Upper-wishbone-r-nurb3"	-3.1	-0.8	1.0	
17		"Lower-wishbone-l-nurb"		-2.5	0.7 	-1.0	
18		"Lower-wishbone-r-nurb1"	-3.0	-0.25	-1.0		
19		"Lower-wishbone-r-nurb2"	-2.3	-0.4	-1.0	
20		"Spring-damper-connection"	-3.0	0.0		-1.0
21		"Spring-damper-ground"		-2.0	0.0		1.0
22		"Wheel"						-3.9	0.0		0.42	
23		"Wheel"						-3.45	0.0		0.42	
24		"Wheel"						-3.45	0.0		3.6	
25		"Wheel"						-3.9	0.0		3.6	
26		"Rim-center"				-3.8	0.0		0.24	
27		"Rim-1"						-3.8	1.1		1.1	
28		"Rim-2"						-3.8	-1.1	1.1	
29		"Rim-3"						-3.8	-0.9	-0.8	
30		"Rim-4"						-3.8	0.9		-0.8	
31		"Spindle"					3.5		0.0		0.0	
32		"Upper-ball-joint"			3.25	0.0		1.0	
33		"Lower-ball-joint"			3.25	0.0		-1.0	
34		"Steering-joint"			3.5		0.5		0.0	
35		"Upper-rev-joint-l"			2.25	0.5		1.0	
36		"Upper-rev-joint-r"			2.25	-0.5	1.0	
37		"Lower-rev-jont-l"			2.0		0.5		-1.0
38		"Lower-rev-jont-r"			2.0		-1.0	-1.0	
39		"Upper-knuckle-nurb"		3.5		0.0		0.8
40		"Lower-knuckle-nurb"		3.5		0.0		-0.8
41		"Steering-link-nurb"		3.5		0.3		0.1
42		"Upper-wishbone-l-nurb1"	3.3		0.6		1.0	
43		"Upper-wishbone-l-nurb2"	2.9		-0.4	1.0
44		"Upper-wishbone-l-nurb3"	3.1		0.8		1.0	
45		"Upper-wishbone-r-nurb1"	3.3		-0.6	1.0	
46		"Upper-wishbone-r-nurb2"	2.9		0.4		1.0	
47		"Upper-wishbone-r-nurb3"	3.1		-0.8	1.0	
48		"Lower-wishbone-l-nurb"		2.5		0.7 	-1.0	
49		"Lower-wishbone-r-nurb1"	3.0		-0.25	-1.0		
50		"Lower-wishbone-r-nurb2"	2.3		-0.4	-1.0	
51		"Spring-damper-connection"	3.0		0.0		-1.0
52		"Spring-damper-ground"		2.0		0.0		1.0
53		"Wheel"						3.9		0.0		0.42	
54		"Wheel"						3.45	0.0		0.42	
55		"Wheel"						3.45	0.0		3.6	
56		"Wheel"						3.9		0.0		3.6	
57		"Rim-center"				3.8		0.0		0.24	
58		"Rim-1"						3.8		1.1		1.1	
59		"Rim-2"						3.8		-1.1	1.1	
60		"Rim-3"						3.8		-0.9	-0.8	
61		"Rim-4"						3.8		0.9		-0.8	
62		"Lower-rev-jont-r"			-2.0	-1.2	-1.0	
63		"Lower-rev-jont-r"			2.0		-1.2	-1.0	
