Point,Type,Link-incidence,Joint-direction,DOF,Joint-variable 
0,"free",(nil 0),(0 0 1),nil,nil
1,"free",(nil 1),(0 0 -1),nil,nil
2,"revolute",(2 0),(0 0 1),nil,nil
3,"revolute",(2 1),(0 0 -1),nil,nil
10,"revolute",(2 3),(0 0 -1),nil,nil
10,"revolute",(2 3),(0 0 1),nil,nil
13,"revolute",(2 5),(0 0 -1),nil,nil
13,"revolute",(2 5),(0 0 1),nil,nil
11,"revolute",(4 3),(0 0 1),nil,nil
11,"revolute",(4 3),(0 0 -1),nil,nil
12,"revolute",(4 5),(0 0 1),nil,nil
12,"revolute",(4 5),(0 0 -1),nil,nil
14,"free",(5 nil),(0 0 -1),nil,nil
