Point,Type,Link-incidence,Joint-direction,DOF,Joint-variable 
0,"revolute",(nil 0),(0 0 1),nil,nil
1,"fixed",(0 1),(0 0 1),nil,nil
2,"fixed",(1 2),(0 0 1),nil,nil
3,"fixed",(2 3),(0 0 1),nil,nil
4,"fixed",(3 4),(0 0 1),nil,nil
5,"fixed",(4 5),(0 0 1),nil,nil
6,"fixed",(5 6),(0 0 1),nil,nil
7,"fixed",(6 7),(0 0 1),nil,nil
8,"fixed",(7 8),(0 0 1),nil,nil
9,"fixed",(8 9),(0 0 1),nil,nil
10,"fixed",(9 10),(0 0 1),nil,nil
11,"fixed",(10 11),(0 0 1),nil,nil
12,"fixed",(11 12),(0 0 1),nil,nil
13,"fixed",(12 13),(0 0 1),nil,nil
14,"fixed",(13 14),(0 0 1),nil,nil
15,"fixed",(14 15),(0 0 1),nil,nil
16,"free",(15 nil),(0 0 1),nil,nil
17,"fixed",(0 16),(0 0 1),nil,nil
18,"fixed",(16 17),(0 0 1),nil,nil
19,"fixed",(17 18),(0 0 1),nil,nil
20,"fixed",(18 19),(0 0 1),nil,nil
21,"fixed",(19 20),(0 0 1),nil,nil
22,"fixed",(20 21),(0 0 1),nil,nil
23,"fixed",(21 22),(0 0 1),nil,nil
24,"fixed",(22 23),(0 0 1),nil,nil
25,"fixed",(23 24),(0 0 1),nil,nil
26,"fixed",(24 25),(0 0 1),nil,nil
27,"fixed",(25 26),(0 0 1),nil,nil
28,"fixed",(26 27),(0 0 1),nil,nil
29,"fixed",(27 28),(0 0 1),nil,nil
30,"fixed",(28 29),(0 0 1),nil,nil
31,"fixed",(29 30),(0 0 1),nil,nil
32,"free",(30 nil),(0 0 1),nil,nil
33,"fixed",(0 31),(0 0 1),nil,nil
34,"fixed",(31 32),(0 0 1),nil,nil
35,"fixed",(32 33),(0 0 1),nil,nil
36,"fixed",(33 34),(0 0 1),nil,nil
37,"fixed",(34 35),(0 0 1),nil,nil
38,"fixed",(35 36),(0 0 1),nil,nil
39,"fixed",(36 37),(0 0 1),nil,nil
40,"fixed",(37 38),(0 0 1),nil,nil
41,"fixed",(38 39),(0 0 1),nil,nil
42,"fixed",(39 40),(0 0 1),nil,nil
43,"fixed",(40 41),(0 0 1),nil,nil
44,"fixed",(41 42),(0 0 1),nil,nil
45,"fixed",(42 43),(0 0 1),nil,nil
46,"fixed",(43 44),(0 0 1),nil,nil
47,"fixed",(44 45),(0 0 1),nil,nil
48,"free",(45 nil),(0 0 1),nil,nil
