Index,Name,X-pos,Y-pos,Z-pos 
1,"crank-bearing",0.0,0.0,0.0
2,"blade-1-0",0.0,2.45,0.0
3,"blade-1-1",0.0,5.2,0.0
4,"blade-1-2",0.0,7.95,0.0
5,"blade-1-3",0.0,10.7,0.0
6,"blade-1-4",0.0,13.45,0.0
7,"blade-1-5",0.0,16.21,0.0
8,"blade-1-6",0.0,20.33,0.0
9,"blade-1-7",0.0,28.59,0.0
10,"blade-1-8",0.0,38.22,0.0
11,"blade-1-9",0.0,43.72,0.0
12,"blade-1-10",0.0,47.84,0.0
13,"blade-1-11",0.0,57.47,0.0
14,"blade-1-12",0.0,62.98,0.0
15,"blade-1-13",0.0,67.1,0.0
16,"blade-1-14",0.0,68.48,0.0
17,"blade-1-15",0.0,69.85,0.0
18,"blade-2-0",-2.1217,-1.225,0.0
19,"blade-2-1",-4.5033,-2.6,0.0
20,"blade-2-2",-6.8849,-3.975,0.0
21,"blade-2-3",-9.2665,-5.35,0.0
22,"blade-2-4",-11.648,-6.725,0.0
23,"blade-2-5",-14.0383,-8.105,0.0
24,"blade-2-6",-17.6163,-10.165,0.0
25,"blade-2-7",-24.7597,-14.295,0.0
26,"blade-2-8",-33.0995,-19.11,0.0
27,"blade-2-9",-37.8626,-21.86,0.0
28,"blade-2-10",-41.4307,-23.92,0.0
29,"blade-2-11",-49.7705,-28.735,0.0
30,"blade-2-12",-54.5423,-31.49,0.0
31,"blade-2-13",-58.1103,-33.55,0.0
32,"blade-2-14",-59.3054,-34.24,0.0
33,"blade-2-15",-60.4919,-34.925,0.0
34,"blade-3-0",2.1217,-1.225,0.0
35,"blade-3-1",4.5033,-2.6,0.0
36,"blade-3-2",6.8849,-3.975,0.0
37,"blade-3-3",9.2665,-5.35,0.0
38,"blade-3-4",11.648,-6.725,0.0
39,"blade-3-5",14.0383,-8.105,0.0
40,"blade-3-6",17.6163,-10.165,0.0
41,"blade-3-7",24.7597,-14.295,0.0
42,"blade-3-8",33.0995,-19.11,0.0
43,"blade-3-9",37.8626,-21.86,0.0
44,"blade-3-10",41.4307,-23.92,0.0
45,"blade-3-11",49.7705,-28.735,0.0
46,"blade-3-12",54.5423,-31.49,0.0
47,"blade-3-13",58.1103,-33.55,0.0
48,"blade-3-14",59.3054,-34.24,0.0
49,"blade-3-15",60.4919,-34.925,0.0
