Name,Link,Member,Cross-section,Dimensions,Points-list,Weights-list 
"crank-link",0,0,"rectangular",(3.37 3.37 3.37 3.37),nil,nil
"crank-link",0,1,"rectangular",(3.37 3.37 3.37 3.37),nil,nil
"crank-link",0,2,"rectangular",(3.37 3.37 3.37 3.37),nil,nil
"crank-link",0,3,"nil",nil,nil,nil
"crank-link",0,4,"nil",nil,nil,nil
"crank-link",0,5,"nil",nil,nil,nil
"blade-1",1,0,"rectangular",(3.37 3.37 3.43 3.09),nil,nil
"blade-1",2,0,"rectangular",(3.43 3.09 3.84 2.92),nil,nil
"blade-1",3,0,"rectangular",(3.84 2.92 4.43 2.75),nil,nil
"blade-1",4,0,"rectangular",(4.43 2.75 4.95 2.43),nil,nil
"blade-1",5,0,"rectangular",(4.95 2.43 5.18 2.07),nil,nil
"blade-1",6,0,"rectangular",(5.18 2.07 5.13 1.74),nil,nil
"blade-1",7,0,"rectangular",(5.13 1.74 4.79 1.25),nil,nil
"blade-1",8,0,"rectangular",(4.79 1.25 4.12 0.91),nil,nil
"blade-1",9,0,"rectangular",(4.12 0.91 3.72 0.74),nil,nil
"blade-1",10,0,"rectangular",(3.72 0.74 3.44 0.62),nil,nil
"blade-1",11,0,"rectangular",(3.44 0.62 2.89 0.52),nil,nil
"blade-1",12,0,"rectangular",(2.89 0.52 2.47 0.44),nil,nil
"blade-1",13,0,"rectangular",(2.47 0.44 1.95 0.35),nil,nil
"blade-1",14,0,"rectangular",(1.95 0.35 1.62 0.29),nil,nil
"blade-1",15,0,"rectangular",(1.62 0.29 0.59 0.11),nil,nil
"blade-2",16,0,"rectangular",(3.37 3.37 3.43 3.09),nil,nil
"blade-2",17,0,"rectangular",(3.43 3.09 3.84 2.92),nil,nil
"blade-2",18,0,"rectangular",(3.84 2.92 4.43 2.75),nil,nil
"blade-2",19,0,"rectangular",(4.43 2.75 4.95 2.43),nil,nil
"blade-2",20,0,"rectangular",(4.95 2.43 5.18 2.07),nil,nil
"blade-2",21,0,"rectangular",(5.18 2.07 5.13 1.74),nil,nil
"blade-2",22,0,"rectangular",(5.13 1.74 4.79 1.25),nil,nil
"blade-2",23,0,"rectangular",(4.79 1.25 4.12 0.91),nil,nil
"blade-2",24,0,"rectangular",(4.12 0.91 3.72 0.74),nil,nil
"blade-2",25,0,"rectangular",(3.72 0.74 3.44 0.62),nil,nil
"blade-2",26,0,"rectangular",(3.44 0.62 2.89 0.52),nil,nil
"blade-2",27,0,"rectangular",(2.89 0.52 2.47 0.44),nil,nil
"blade-2",28,0,"rectangular",(2.47 0.44 1.95 0.35),nil,nil
"blade-2",29,0,"rectangular",(1.95 0.35 1.62 0.29),nil,nil
"blade-2",30,0,"rectangular",(1.62 0.29 0.59 0.11),nil,nil
"blade-3",31,0,"rectangular",(3.37 3.37 3.43 3.09),nil,nil
"blade-3",32,0,"rectangular",(3.43 3.09 3.84 2.92),nil,nil
"blade-3",33,0,"rectangular",(3.84 2.92 4.43 2.75),nil,nil
"blade-3",34,0,"rectangular",(4.43 2.75 4.95 2.43),nil,nil
"blade-3",35,0,"rectangular",(4.95 2.43 5.18 2.07),nil,nil
"blade-3",36,0,"rectangular",(5.18 2.07 5.13 1.74),nil,nil
"blade-3",37,0,"rectangular",(5.13 1.74 4.79 1.25),nil,nil
"blade-3",38,0,"rectangular",(4.79 1.25 4.12 0.91),nil,nil
"blade-3",39,0,"rectangular",(4.12 0.91 3.72 0.74),nil,nil
"blade-3",40,0,"rectangular",(3.72 0.74 3.44 0.62),nil,nil
"blade-3",41,0,"rectangular",(3.44 0.62 2.89 0.52),nil,nil
"blade-3",42,0,"rectangular",(2.89 0.52 2.47 0.44),nil,nil
"blade-3",43,0,"rectangular",(2.47 0.44 1.95 0.35),nil,nil
"blade-3",44,0,"rectangular",(1.95 0.35 1.62 0.29),nil,nil
"blade-3",45,0,"rectangular",(1.62 0.29 0.59 0.11),nil,nil
